id,year,Hispanic,Female,Grades,tobacco,alcohol,mj,sibsmoke,sibdrink,adultdrink,adultsmoke,year_value,rooms,nusing,present,sport_basket,sport_soccer,sport_run,school,has_sib,toa_smoke,toa_drink,toa_mj,exposure_smoke,exposure_count,exposure_smoke_se,exposure_female,exposure_2steps,exposure_indegree,exposure_density,exposure_team,exposure_simmelian,indegree,outdegree,ego_density,exposure_perceived_count,exposure_perceived
111-0002,1,0,0,3,0,1,,1,,,1,2010,6,1,1,,,,111,1,2,1,2,,,,,,,,,,13,1,1,1,
111-0002,2,0,0,2.5,1,1,1,1,0,1,0,2011,6,4,1,,,,111,1,2,1,2,0,0,0.132979668644338,0,0,0,0,0,0,4,1,0.5,4,1
111-0002,3,0,0,2.5,1,1,1,1,,,,2012,6,0,,,,,111,1,2,1,2,1,1,0.182601689132319,1,1,1,1,0,0,7,0,0,0,1
111-0002,4,0,0,2,1,1,1,0,1,1,1,2013,6,3,1,,,,111,1,2,1,2,0,0,0.113247938405963,0,0,0,0,0,0,4,2,0.5,3,0
111-0007,1,0,1,5,0,0,0,0,0,1,1,2010,3,0,1,,,,111,1,,,,,,,,,,,,,6,4,0.7,0,
111-0007,2,0,1,4.5,0,0,0,0,0,,1,2011,3,0,1,,,,111,1,,,,0,0,0.117660806740314,0,0.0588235294117647,0,0,0,0,6,5,0.466666666666667,0,0
111-0007,3,0,1,4,0,0,0,0,0,0,0,2012,3,0,1,,,,111,1,,,,0,0,0.303860043210474,0,0.0740740740740741,0,0,0,0,6,2,1,0,0
111-0007,4,0,1,4.5,0,0,0,0,0,1,1,2013,3,0,1,,,,111,1,,,,0,0,0.2357048834021,0,0,0,0,0,0,2,1,1,0,0
111-0008,1,,1,5,0,1,0,0,0,1,0,2010,3,3,1,,1,,111,1,,1,,,,,,,,,,,2,6,0.166666666666667,3,
111-0008,2,,1,4.75,0,1,0,0,0,0,0,2011,3,3,1,,,,111,1,,1,,0.166666666666667,1,0.135057277498142,0,0.125,0.0810810810810811,0.0921052631578947,0,0,2,1,0.5,3,0.5
111-0008,3,,1,4.5,0,1,0,0,0,0,0,2012,3,5,1,,,,111,1,,1,,0,0,0.409785836020302,0,0,0,0,0,0,1,4,0.45,5,1
111-0008,4,,1,4.75,,1,,0,,,,2013,3,0,,,,,111,1,,1,,0,0,0.198799463945079,0,0.212121212121212,0,0,0,0,0,0,0,0,1
111-0013,1,1,1,2.5,0,1,1,0,0,1,1,2010,1,1,1,,,,111,1,2,1,1,,,,,,,,,,1,1,0.5,1,
111-0013,2,1,1,2.5,1,1,1,0,0,1,1,2011,2,2,1,,,,111,1,2,1,1,0,0,0.157227898145216,0,0,0,0,0,0,1,1,0.5,2,1
111-0013,3,1,1,2.5,1,1,1,0,0,1,1,2012,2,1,1,,,,111,1,2,1,1,0,0,0.195263981236217,0,0,0,0,0,0,3,1,0.5,1,1
111-0013,4,1,1,1.5,1,1,1,0,1,0,1,2013,2,3,1,,,,111,1,2,1,1,1,1,0.105109828315044,1,1,1,0,0,0,0,3,0.416666666666667,3,1
111-0014,1,,1,3,0,0,0,0,0,1,0,2010,2,1,1,,,1,111,1,4,3,4,,,,,,,,,,12,6,0.285714285714286,1,
111-0014,2,,1,3.5,0,0,0,0,0,0,0,2011,2,3,1,,,1,111,1,4,3,4,0.166666666666667,1,0.379394508549995,0,0.102564102564103,0.153846153846154,0.148031849276663,0.2,0,8,4,0.55,3,0.166666666666667
111-0014,3,,1,3.5,0,1,0,0,0,0,0,2012,2,3,1,,,1,111,1,4,3,4,0.5,2,0.329574759774904,0,0.296296296296296,0.580645161290323,0.496168582375479,0.666666666666667,1,5,10,0.154545454545455,3,0.75
111-0014,4,,1,3.5,1,1,1,0,1,0,0,2013,2,4,1,,,1,111,1,4,3,4,0.2,2,0.198984232033827,0,0.2,0.142857142857143,0.219248291571754,1,0,4,5,0.266666666666667,4,0.3
111-0015,1,1,0,2.5,1,1,1,0,0,1,0,2010,6,3,1,1,,,111,0,1,1,1,,,,,,,,,,1,4,0.35,3,
111-0015,2,1,0,2.5,1,1,1,0,0,1,0,2011,6,2,1,1,,,111,0,1,1,1,0,0,0.186638732000848,0,0.0666666666666667,0,0,0,0,2,4,0.35,2,0.75
111-0015,3,1,0,1.5,1,1,1,0,0,1,0,2012,6,4,1,1,,,111,0,1,1,1,0,0,0.333312971576003,0,0.151515151515152,0,0,0,0,6,4,0.5,4,0.5
111-0015,4,1,0,3.5,1,1,1,0,0,1,0,2013,6,3,1,1,1,1,111,0,1,1,1,0.25,1,0.199386466294321,0,0.2,0.428571428571429,0.3125,0.333333333333333,0,1,3,0.333333333333333,3,1
111-0020,1,1,1,2.5,0,0,1,0,0,0,0,2010,7,2,1,,,1,111,1,3,2,1,,,,,,,,,,3,5,0.2,2,
111-0020,2,1,1,2.5,0,1,1,0,0,0,0,2011,7,2,1,,,1,111,1,3,2,1,0.4,2,0.133843845551334,0.333333333333333,0.2,0.4,0.515463917525773,0,0,3,7,0.125,2,0.4
111-0020,3,1,1,1.5,1,1,1,1,0,0,1,2012,4,4,1,,,1,111,1,3,2,1,0.285714285714286,2,0.489365214416962,0,0.222222222222222,0.241379310344828,0.393258426966292,0,0,2,7,0.25,4,0.285714285714286
111-0020,4,1,1,2.5,1,1,1,1,0,0,1,2013,4,2,1,,,,111,1,3,2,1,0.285714285714286,2,0.199069355449966,0,0.30952380952381,0.193548387096774,0.550819672131148,0,0,3,4,0.3,2,0.571428571428571
111-0021,1,,1,3.5,0,1,0,0,,0,0,2010,2,1,1,,,,111,1,,1,,,,,,,,,,,0,4,0.2,1,
111-0021,2,,1,3.5,0,1,0,0,0,1,1,2011,2,2,1,,,,111,1,,1,,0.25,1,0.169430313082813,0.25,0.238095238095238,0.176470588235294,0.38961038961039,0,0,2,6,0.357142857142857,2,0.25
111-0021,3,,1,3.5,0,1,0,0,0,1,1,2012,2,1,1,,,1,111,1,,1,,0.166666666666667,1,0.370835328000791,0.2,0.228571428571429,0.172413793103448,0.115718418514947,0,0,3,8,0.180555555555556,1,0.333333333333333
111-0021,4,,1,3.5,,1,,0,,,,2013,2,0,,,,,111,1,,1,,0.25,2,0.214466171144051,0,0.303030303030303,0.188679245283019,0.117647058823529,0,0,0,0,0,0,0.125
111-0022,1,1,0,4,0,,0,,,,,,,0,,,,,111,,,3,,,,,,,,,,,9,0,0,0,
111-0022,2,1,0,4,0,,0,,,,,2011,,0,,,,,111,,,3,,0,0,0.130746003497318,0,0,0,0,0,0,4,0,0,0,0
111-0022,3,1,0,3.5,0,1,0,0,0,0,0,2012,2,0,1,,,,111,1,,3,,0,0,0.0461602945630025,0,0,0,0,0,0,4,5,0.566666666666667,0,0
111-0022,4,1,0,4.5,0,1,0,0,0,0,0,2013,2,3,1,,,,111,1,,3,,0.4,2,0.198960816161628,0,0.222222222222222,0.411764705882353,0.603387438249824,0,0.666666666666667,4,6,0.261904761904762,3,0
111-0025,1,0,1,4.5,0,0,0,0,0,1,0,2010,4,0,1,,,1,111,1,,,,,,,,,,,,,6,4,0.5,0,
111-0025,2,0,1,3.5,0,0,0,0,0,0,1,2011,4,0,1,,,,111,1,,,,0.25,1,0.119412961882256,0.333333333333333,0.103448275862069,0.181818181818182,0.393319806461683,1,0.5,8,4,0.8,0,0
111-0025,3,0,1,4.16666666666667,,,,0,,,,2012,4,0,,,,,111,1,,,,0.25,1,0.334527740468621,0.333333333333333,0.130434782608696,0.25,0.358361774744027,0,0.5,0,0,0,0,0
111-0025,4,0,1,4.5,0,0,0,1,0,0,1,2013,4,0,1,,,,111,1,,,,0,0,0.262343199778715,0,0,0,0,0,0,2,1,0.5,0,0
111-0026,1,,0,5,0,0,0,0,0,1,0,2010,3,0,1,1,,,111,1,,2,,,,,,,,,,,7,2,1,0,
111-0026,2,,0,4.5,0,1,0,0,0,0,0,2011,4,0,1,1,,1,111,1,,2,,0,0,0.118731355997326,0,0.125,0,0,0,0,4,8,0.347222222222222,0,0
111-0026,3,,0,4.75,,1,,0,,,,2012,4,0,,,,,111,1,,2,,0,0,0.266400966486389,0,0.0952380952380952,0,0,0,0,0,0,0,0,0
111-0026,4,,0,4.75,,1,,0,,,,2013,4,0,,,,,111,1,,2,,0,0,0.262343199778715,0,0,0,0,0,0,0,0,0,0,0
111-0028,1,,1,3.5,0,0,0,0,0,0,0,2010,2,0,1,,1,1,111,1,,,,,,,,,,,,,5,8,0.125,0,
111-0028,2,,1,3.5,0,0,0,0,0,0,0,2011,2,0,1,,1,1,111,1,,,,0.25,2,0.30431291097255,0.2,0.288888888888889,0.235294117647059,0.315619967793881,1,0,6,5,0.333333333333333,0,0
111-0028,3,,1,3.5,,,,0,,,,2012,2,0,,,,,111,1,,,,0.8,4,0.445799051353879,0.5,0.583333333333333,0.8,0.764150943396226,0,0,3,0,0,0,0
111-0028,4,,1,3.5,,,,0,,,,2013,2,0,,,,,111,1,,,,0,0,0.19404582178459,0,0,0,0,0,0,3,0,0,0,0
111-0029,1,,1,4.5,0,0,0,0,0,0,0,2010,3,1,1,1,,,111,1,,,,,,,,,,,,,8,4,0.3,1,
111-0029,2,,1,4.16666666666667,,,,0,,,,2011,3,0,,,,,111,1,,,,0,0,0.120441126718181,0,0.192307692307692,0,0,0,0,3,0,0,0,0.25
111-0029,3,,1,4,0,0,0,0,0,0,0,2012,3,4,1,1,,1,111,1,,,,0,0,0.289196978623004,0,0,0,0,0,0,6,1,1,4,0
111-0029,4,,1,4,0,0,0,0,0,0,0,2013,3,4,1,1,,1,111,1,,,,0,0,0.21588076574058,0,0.333333333333333,0,0,0,0,5,4,0.3,4,1
111-0030,1,1,1,3,0,0,0,0,0,0,0,2010,3,0,1,,,,111,1,,,,,,,,,,,,,4,3,0.25,0,
111-0030,2,1,1,3.33333333333333,0,0,0,0,0,0,0,2011,3,0,1,,,,111,1,,,,0.333333333333333,1,0.111095163542766,0,0.375,0.416666666666667,0.506024096385542,0,0,2,7,0.267857142857143,0,0
111-0030,3,1,1,3.5,0,0,0,0,0,1,0,2012,3,0,1,,,,111,1,,,,0.142857142857143,1,0.499698172551579,0.2,0.25,0.16,0.0845070422535211,0,0,2,5,0.3,0,0
111-0030,4,1,1,3.5,0,0,0,0,0,0,0,2013,3,1,1,,,,111,1,,,,0.2,1,0.260698681286495,0.25,0.304347826086957,0.0833333333333333,0.154929577464789,0,0,2,3,0.333333333333333,1,0
111-0033,1,,0,4,0,0,0,0,0,0,0,2010,3,0,1,,,,111,1,2,,2,,,,,,,,,,4,2,0.5,0,
111-0033,2,,0,4,1,0,1,1,0,1,1,2011,3,1,1,,,,111,1,2,,2,0,0,0.268568029545691,0,0.111111111111111,0,0,0,0,3,0,0,1,0
111-0033,3,,0,4,1,,1,1,,,,2012,3,0,,,,,111,1,2,,2,0,0,0.813597783123779,0,0,0,0,0,0,0,0,0,0,0
111-0033,4,,0,4,1,,1,1,,,,2013,3,0,,,,,111,1,2,,2,0,0,0.261620403040956,0,0,0,0,0,0,0,0,0,0,0
111-0037,1,,1,4.5,0,0,0,0,0,0,1,2010,3,2,1,,,,111,1,,2,,,,,,,,,,,2,6,0.261904761904762,2,
111-0037,2,,1,4.5,0,1,0,0,0,1,0,2011,3,2,1,,,,111,1,,2,,0,0,0.127214868349372,0,0.0285714285714286,0,0,0,0,3,2,0.833333333333333,2,0.333333333333333
111-0037,3,,1,4.5,,1,,0,,,,2012,3,0,,,,,111,1,,2,,0,0,0.171407900425934,0,0,0,0,0,0,0,0,0,0,1
111-0037,4,,1,4.5,,1,,0,,,,2013,3,0,,,,,111,1,,2,,0,0,0.262343199778715,0,0,0,0,0,0,4,0,0,0,0
111-0039,1,,1,4,0,1,0,0,0,1,1,2010,3,5,1,,,,111,1,,1,,,,,,,,,,,3,6,0.285714285714286,5,
111-0039,2,,1,3.5,0,1,0,0,0,1,1,2011,2,2,1,,,,111,1,,1,,0.166666666666667,1,0.59746463067339,0,0.130434782608696,0.19047619047619,0.339256865912763,0,0,2,1,1,2,0.833333333333333
111-0039,3,,1,4.5,0,1,0,0,0,0,0,2012,3,3,1,,,,111,1,,1,,0,0,0.187588084232918,0,0.2,0,0,0,0,0,0,0,3,1
111-0039,4,,1,4,,1,,0,,,,2013,3,0,,,,,111,1,,1,,0,0,0.262343199778715,0,0,0,0,0,0,0,0,0,0,0
111-0041,1,1,0,4.5,1,1,0,0,0,1,1,2010,6,1,1,,,1,111,1,1,1,3,,,,,,,,,,6,6,0.428571428571429,1,
111-0041,2,1,0,4.5,1,1,0,0,0,0,1,2011,5,2,1,,,1,111,1,1,1,3,0.333333333333333,2,0.559138520981913,0.666666666666667,0.142857142857143,0.232558139534884,0.484073953940967,0.666666666666667,0,7,3,0.833333333333333,2,0.166666666666667
111-0041,3,1,0,4.5,1,1,1,0,0,0,1,2012,5,4,1,,,1,111,1,1,1,3,0.333333333333333,1,0.391047759345164,0.5,0.238095238095238,0.523809523809524,0.360655737704918,0.333333333333333,0.5,2,3,0.583333333333333,4,0.666666666666667
111-0041,4,1,0,4.5,1,1,1,0,0,0,1,2013,5,4,1,,,1,111,1,1,1,3,0.333333333333333,1,0.198827604949914,1,0.263157894736842,0.333333333333333,0,0,0,4,3,0.5,4,1
111-0044,1,,0,3,0,0,0,0,0,0,0,2010,3,0,1,,,,111,1,,,,,,,,,,,,,4,1,0.5,0,
111-0044,2,,0,3,0,0,0,0,0,0,0,2011,3,0,1,,,,111,1,,,,0,0,0.139740387788637,0,0,0,0,0,0,2,3,0.5,0,0
111-0044,3,,0,3,0,0,0,0,0,0,0,2012,3,0,1,,,,111,1,,,,0,0,0.370343045927905,0,0,0,0,0,0,6,4,0.65,0,0
111-0044,4,,0,3,0,0,0,0,0,0,0,2013,3,0,1,,,,111,1,,,,0.25,1,0.197038079216409,1,0.25,0.157894736842105,0.521739130434783,0,0,4,1,1,0,0
111-0046,1,,0,4,0,0,0,0,0,1,0,2010,3,1,1,,,,111,1,4,,,,,,,,,,,,1,4,0.3,1,
111-0046,2,,0,4.5,0,0,,0,0,1,1,2011,3,0,1,,,,111,1,4,,,0,0,0.125676181975668,0,0.0666666666666667,0,0,0,0,4,4,0.4,0,0.25
111-0046,3,,0,4.16666666666667,,,,0,,,,2012,3,0,,,,,111,1,4,,,0,0,0.0732486279012147,0,0.166666666666667,0,0,0,0,0,0,0,0,0
111-0046,4,,0,4,1,0,0,0,0,0,0,2013,3,0,1,,,1,111,1,4,,,0,0,0.262343199778715,0,0,0,0,0,0,4,2,0.5,0,0
111-0048,1,,0,5,0,0,0,0,0,0,0,2010,4,0,1,,,,111,1,,,,,,,,,,,,,12,3,0.25,0,
111-0048,2,,0,4.5,0,0,0,0,0,0,0,2011,4,0,1,1,,,111,1,,,,0.666666666666667,2,0.118289297562858,1,0.333333333333333,0.647058823529412,0.27710843373494,0,0,6,2,0.5,0,0
111-0048,3,,0,4.75,,,,0,,,,2012,4,0,,,,,111,1,,,,0.5,1,0.328603475393099,1,0.25,0.428571428571429,0.4,1,0,0,0,0,0,0
111-0048,4,,0,4.75,,,,0,,,,2013,4,0,,,,,111,1,,,,0,0,0.262343199778715,0,0,0,0,0,0,2,0,0,0,0
111-0050,1,1,0,3,0,0,0,,,,,2010,5,2,1,,,,111,,,,,,,,,,,,,,2,2,0.833333333333333,2,
111-0050,2,1,0,3.33333333333333,0,0,0,0,0,0,0,2011,5,1,1,,1,,111,1,,,,0,0,0.171050915071391,0,0.285714285714286,0,0,0,0,4,4,0.45,1,1
111-0050,3,1,0,3.5,0,0,0,0,0,1,1,2012,4,0,1,,1,,111,1,,,,0.25,1,0.473803159524122,0.25,0.285714285714286,0.4,0.247422680412371,0,0,4,4,0.6,0,0.25
111-0050,4,1,0,3.5,0,0,0,0,0,0,0,2013,4,1,1,,1,,111,1,,,,0,0,0.266138503538409,0,0.105263157894737,0,0,0,0,1,2,0.666666666666667,1,0
111-0053,1,1,1,3.5,0,1,0,0,0,0,0,2010,2,0,1,,,,111,0,,1,2,,,,,,,,,,4,3,0.416666666666667,0,
111-0053,2,1,1,3.5,0,1,1,0,0,1,1,2011,2,1,1,,,,111,1,,1,2,0,0,0.157141766385881,0,0.111111111111111,0,0,0,0,2,1,1,1,0
111-0053,3,1,1,3.5,0,1,1,0,0,0,1,2012,2,1,1,,,,111,1,,1,2,0,0,0.231137392606624,0,0,0,0,0,0,5,8,0.25,1,1
111-0053,4,1,1,2.5,0,1,1,0,,,0,2013,2,1,1,,,,111,1,,1,2,0.25,2,0.212702696326389,0.4,0.260869565217391,0.2,0.149348083761359,0,0,2,1,1,1,0.125
111-0057,1,0,1,4.5,0,0,0,,,,0,2010,3,0,1,,,,111,,,,,,,,,,,,,,4,8,0.611111111111111,0,
111-0057,2,0,1,5,0,0,0,0,0,0,0,2011,3,0,1,,,1,111,1,,,,0,0,0.124612635662268,0,0.03125,0,0,0,0,5,5,0.866666666666667,0,0
111-0057,3,0,1,5,0,0,0,0,0,0,0,2012,3,0,1,,,,111,1,,,,0,0,0.25756572953205,0,0.08,0,0,0,0,3,5,0.666666666666667,0,0
111-0057,4,0,1,5,0,0,0,0,0,0,0,2013,3,0,1,,,,111,1,,,,0,0,0.293842973387201,0,0.0588235294117647,0,0,0,0,1,1,1,0,0
111-0060,1,1,1,2.75,0,,,,,,,,,0,,,,,111,,,3,3,,,,,,,,,,1,0,0,0,
111-0060,2,1,1,2.75,0,,,,,,,2011,,0,,,,,111,,,3,3,0,0,0.129372171432605,0,0,0,0,0,0,2,0,0,0,0
111-0060,3,1,1,3,0,1,1,0,0,1,0,2012,3,5,1,,,,111,0,,3,3,0,0,0.633005404996497,0,0,0,0,0,0,3,6,0.238095238095238,5,0
111-0060,4,1,1,2.5,0,1,1,0,0,0,0,2013,3,5,1,,,,111,0,,3,3,0.666666666666667,4,0.199348364127336,0.5,0.5,0.681818181818182,0.891304347826087,0,0,1,4,0.3,5,0.833333333333333
111-0061,1,,1,3.5,0,0,1,1,0,0,0,2010,2,1,1,,,,111,1,,,1,,,,,,,,,,3,1,2,1,
111-0061,2,,1,3.5,0,0,1,1,0,1,1,2011,2,0,1,1,,,111,1,,,1,1,1,0.147581706322403,1,1,1,1,0,0,2,0,0,0,1
111-0061,3,,1,3.5,,,1,1,,,,2012,2,0,,,,,111,1,,,1,0,0,0.192390621943764,0,0,0,0,0,0,0,0,0,0,0
111-0061,4,,1,3.5,,,1,1,,,,2013,2,0,,,,,111,1,,,1,0,0,0.262343199778715,0,0,0,0,0,0,0,0,0,0,0
111-0062,1,,1,4.5,0,0,0,0,0,0,0,2010,4,1,1,,,,111,1,,2,2,,,,,,,,,,7,5,0.4,1,
111-0062,2,,1,4.5,0,1,1,0,0,0,0,2011,4,0,1,,,,111,1,,2,2,0,0,0.118499508431711,0,0,0,0,0,0,7,6,0.333333333333333,0,0.2
111-0062,3,,1,4.5,,1,1,0,,,,2012,4,0,,,,,111,1,,2,2,0.166666666666667,1,0.213181372922396,0.25,0.161290322580645,0.0714285714285714,0.225225225225225,0,0.5,0,0,0,0,0
111-0062,4,,1,4.5,,1,1,0,,,,2013,4,0,,,,,111,1,,2,2,0,0,0.262343199778715,0,0,0,0,0,0,0,0,0,0,0
111-0064,1,,0,2.5,0,0,,,,,,2010,3,2,1,,,,111,,,3,2,,,,,,,,,,1,2,0.333333333333333,2,
111-0064,2,,0,2.5,0,0,1,0,0,0,0,2011,1,2,1,,,,111,1,,3,2,0.5,1,0.184737401550241,0.5,0.285714285714286,0.8,0.5,0,0,2,2,0.333333333333333,2,1
111-0064,3,,0,2.5,0,1,1,0,0,1,0,2012,2,0,1,,,,111,1,,3,2,0.5,1,0.173024730543256,0.5,0.4,0.5,0,0,0,2,3,0.333333333333333,0,1
111-0064,4,,0,2.5,,1,1,0,,,,2013,2,0,,,,,111,1,,3,2,0,0,0.223711956423481,0,0,0,0,0,0,0,0,0,0,0
111-0065,1,,0,4.5,0,0,0,0,0,1,0,2010,5,0,1,,,,111,0,,,,,,,,,,,,,5,8,0.416666666666667,0,
111-0065,2,,0,4.5,0,0,0,0,0,0,1,2011,5,0,1,,,,111,0,,,,0.125,1,0.123325801797332,0.25,0.0652173913043478,0.0810810810810811,0.0411551396643451,0,0,2,11,0.113636363636364,0,0
111-0065,3,,0,4.5,,,,0,,,,2012,5,0,,,,,111,0,,,,0,0,0.137868035218525,0,0.0681818181818182,0,0,0,0,0,0,0,0,0
111-0065,4,,0,4.5,,,,0,,,,2013,5,0,,,,,111,0,,,,0,0,0.262343199778715,0,0,0,0,0,0,0,0,0,0,0
111-0068,1,,1,4.5,0,1,0,1,1,0,1,2010,2,3,1,,,,111,1,,1,,,,,,,,,,,7,5,0.4,3,
111-0068,2,,1,4.5,0,1,0,1,0,0,1,2011,2,2,1,,,,111,1,,1,,0,0,0.128221806282006,0,0,0,0,0,0,8,14,0.252380952380952,2,0.6
111-0068,3,,1,5,0,1,0,1,0,1,1,2012,2,2,1,,,,111,1,,1,,0.142857142857143,2,0.352916188733915,0,0.112903225806452,0.152941176470588,0.142806191597118,0,0,7,2,0.5,2,0.142857142857143
111-0068,4,,1,4.66666666666667,,1,,1,,,,2013,2,0,,,,,111,1,,1,,0,0,0.198775225672088,0,0.153846153846154,0,0,0,0,0,0,0,0,1
111-0069,1,1,1,3.66666666666667,0,0,0,,,,,2010,,1,1,,,,111,,,,,,,,,,,,,,3,3,0.333333333333333,1,
111-0069,2,1,1,3.5,0,0,0,0,0,0,0,2011,3,0,1,,,,111,1,,,,0,0,0.139593353918923,0,0.0588235294117647,0,0,0,0,3,4,0.35,0,0.333333333333333
111-0069,3,1,1,3.5,0,0,0,0,0,0,0,2012,3,0,1,,,,111,1,,,,0,0,0.299040903615318,0,0.0588235294117647,0,0,0,0,4,5,0.333333333333333,0,0
111-0069,4,1,1,4,0,0,0,0,0,0,0,2013,3,0,1,,,,111,1,,,,0,0,0.198628429182454,0,0.0454545454545455,0,0,0,0,2,2,0.5,0,0
111-0071,1,1,1,4.5,0,1,0,0,,1,0,2010,5,0,1,,,,111,1,,1,3,,,,,,,,,,5,6,0.285714285714286,0,
111-0071,2,1,1,4.5,0,1,0,0,0,1,0,2011,5,0,1,,,,111,1,,1,3,0.166666666666667,1,0.116058030289763,0.166666666666667,0.219512195121951,0.125,0.319767441860465,0,0,4,5,0.233333333333333,0,0
111-0071,3,1,1,4.5,0,1,1,0,0,,0,2012,4,0,1,,,,111,1,,1,3,0.2,1,0.36089359671619,0.2,0.133333333333333,0.3125,0.16551724137931,0,0,8,10,0.281818181818182,0,0
111-0071,4,1,1,4.5,0,1,1,0,1,1,0,2013,4,0,1,,,,111,1,,1,3,0.3,3,0.220806303228072,0.285714285714286,0.351851851851852,0.316666666666667,0.368829154820367,0,0.666666666666667,4,8,0.222222222222222,0,0
111-0072,1,1,1,4.5,1,1,1,1,0,0,0,2010,3,0,1,,1,1,111,1,1,1,1,,,,,,,,,,7,10,0.154545454545455,0,
111-0072,2,1,1,3.5,1,1,1,1,0,0,0,2011,7,1,1,1,1,1,111,1,1,1,1,0.2,2,0.182169548564012,0.142857142857143,0.326086956521739,0.212765957446809,0.246775330761893,0.2,0,2,5,0.3,1,0
111-0072,3,1,1,4,1,1,1,1,0,1,0,2012,3,2,1,,1,,111,1,1,1,1,0.2,1,0.366700065057564,0.2,0.24,0.214285714285714,0.432692307692308,0.25,0,4,7,0.232142857142857,2,0.2
111-0072,4,1,1,4,1,1,1,0,1,1,0,2013,3,0,1,,1,1,111,0,1,1,1,0.428571428571429,3,0.213986794310647,0.4,0.379310344827586,0.344827586206897,0.712962962962963,0.5,1,2,2,0.833333333333333,0,0.285714285714286
111-0074,1,,1,4.5,0,,0,,,,,2010,5,1,1,1,,,111,,,2,,,,,,,,,,,3,1,0.5,1,
111-0074,2,,1,4.5,0,1,0,0,0,1,0,2011,5,1,1,,,,111,1,,2,,0,0,0.146991430877837,0,0,0,0,0,0,5,7,0.285714285714286,1,1
111-0074,3,,1,4.5,0,1,0,0,0,1,0,2012,4,1,1,1,,,111,1,,2,,0,0,0.507597993915117,0,0.156862745098039,0,0,0,0,5,8,0.236111111111111,1,0.142857142857143
111-0074,4,,1,4.5,,1,,0,,,,2013,4,0,,,,,111,1,,2,,0.25,2,0.198764565425069,0.333333333333333,0.351351351351351,0.30952380952381,0.185158239359767,0.666666666666667,0,0,0,0,0,0.125
111-0075,1,,1,1.5,1,1,1,1,1,1,1,2010,4,5,1,,,,111,1,1,1,1,,,,,,,,,,4,2,1.33333333333333,5,
111-0075,2,,1,3,1,1,1,1,0,1,1,2011,4,3,1,,,,111,1,1,1,1,1,2,0.113521616460459,1,0.733333333333333,1,1,0,1,3,2,1.33333333333333,3,1
111-0075,3,,1,3.16666666666667,1,1,1,1,,,,2012,4,0,,,,,111,1,1,1,1,1,2,0.379523362477172,1,0.538461538461538,1,1,0,1,0,0,0,0,1
111-0075,4,,1,5,1,1,1,1,1,1,1,2013,4,7,1,,,,111,1,1,1,1,0,0,0.261620403040956,0,0,0,0,0,0,0,0,0,7,0
111-0076,1,,0,2.5,0,1,1,1,1,1,0,2010,3,0,1,,,,111,1,,1,1,,,,,,,,,,3,9,0.288888888888889,0,
111-0076,2,,0,1.5,0,1,1,0,0,1,1,2011,4,0,1,,,1,111,1,,1,1,0.222222222222222,2,0.116544810713346,0,0.311111111111111,0.166666666666667,0.189923177718969,0,0,3,2,0.5,0,0
111-0076,3,,0,2,,1,1,0,,,,2012,4,0,,,,,111,1,,1,1,0.5,1,0.243010844696591,0,0.714285714285714,0.333333333333333,1,0,0,2,0,0,0,0
111-0076,4,,0,2,,1,1,0,,,,2013,4,0,,,,,111,1,,1,1,0,0,0.0600287509472549,0,0,0,0,0,0,0,0,0,0,0
111-0081,1,,0,2.5,0,1,1,0,0,1,1,2010,3,1,1,,,1,111,1,,1,1,,,,,,,,,,5,4,0.45,1,
111-0081,2,,0,3,0,1,1,0,0,0,1,2011,3,0,1,,,,111,1,,1,1,0,0,0.115820160891808,0,0.16,0,0,0,0,1,11,0.0984848484848485,0,0.25
111-0081,3,,0,3.5,0,1,1,0,0,0,1,2012,3,0,1,,,1,111,1,,1,1,0.454545454545455,5,0.282987484067012,0.428571428571429,0.372093023255814,0.454545454545455,0.340080971659919,0,0,2,2,0.333333333333333,0,0
111-0081,4,,0,3,,1,1,0,,,,2013,3,0,,,,,111,1,,1,1,0.5,1,0.171937086641188,0.5,0.5,0.666666666666667,0,0,0,2,0,0,0,0
111-0082,1,0,0,4.25,0,0,0,,,,,2010,,2,1,,,,111,,,,,,,,,,,,,,3,3,0.583333333333333,2,
111-0082,2,0,0,4.25,0,0,0,0,0,0,0,2011,,2,1,1,,1,111,1,,,,0,0,0.171243331855074,0,0.1,0,0,0,0,2,0,0,2,0.666666666666667
111-0082,3,0,0,5,0,0,0,0,0,0,0,2012,4,0,1,1,,1,111,1,,,,0,0,0.299155959459719,0,0,0,0,0,0,1,0,0,0,0
111-0082,4,0,0,3.5,0,0,0,0,0,0,0,2013,4,0,1,,,,111,0,,,,0,0,0.257086657130267,0,0,0,0,0,0,0,2,0.333333333333333,0,0
111-0083,1,,0,5,0,0,0,0,0,1,0,2010,5,0,1,1,,1,111,0,,2,,,,,,,,,,,5,3,0.833333333333333,0,
111-0083,2,,0,5,0,1,0,0,0,1,1,2011,6,0,1,1,,1,111,1,,2,,0,0,0.116551965529497,0,0.0588235294117647,0,0,0,0,4,3,0.666666666666667,0,0
111-0083,3,,0,5,,1,,0,,,,2012,6,0,,,,,111,1,,2,,0.333333333333333,1,0.213963704402432,0,0.19047619047619,0.166666666666667,0.495088408644401,0,0,0,0,0,0,0
111-0083,4,,0,5,,1,,0,,,,2013,6,0,,,,,111,1,,2,,0,0,0.262343199778715,0,0,0,0,0,0,0,0,0,0,0
